107,0.214,-0.051
108,0.216,-0.047
109,0.218,-0.047
110,0.22,-0.049
111,0.222,-0.051
112,0.224,-0.052
113,0.226,-0.05
114,0.228,-0.047
115,0.23,-0.042
116,0.232,-0.037
117,0.234,-0.032
118,0.236,-0.03
119,0.238,-0.031
120,0.24,-0.033
121,0.242,-0.035
122,0.244,-0.035
123,0.246,-0.033
124,0.248,-0.03
125,0.25,-0.025
126,0.252,-0.021
127,0.254,-0.018
128,0.256,-0.018
129,0.258,-0.019
130,0.26,-0.022
131,0.262,-0.024
132,0.264,-0.025
133,0.266,-0.025
134,0.268,-0.022
135,0.27,-0.019
136,0.272,-0.014
137,0.274,-0.01
138,0.276,-0.006
139,0.278,-0.003
140,0.28,-0.001
141,0.282,0.002
142,0.284,0.003
143,0.286,0.005
144,0.288,0.006
145,0.29,0.007
146,0.292,0.008
147,0.294,0.009
148,0.296,0.009
149,0.298,0.011
150,0.3,0.012
151,0.302,0.014
152,0.304,0.016
153,0.306,0.018
154,0.308,0.02
155,0.31,0.022
156,0.312,0.024
157,0.314,0.027
158,0.316,0.03
159,0.318,0.033
160,0.32,0.036
161,0.322,0.039
162,0.324,0.042
163,0.326,0.044
164,0.328,0.048
165,0.33,0.052
166,0.332,0.057
167,0.334,0.063
168,0.336,0.07
169,0.338,0.078
170,0.34,0.084
171,0.342,0.09
172,0.344,0.096
173,0.346,0.101
174,0.348,0.106
175,0.35,0.111
176,0.352,0.117
177,0.354,0.123
178,0.356,0.131
179,0.358,0.139
180,0.36,0.147
181,0.362,0.156
182,0.364,0.165
183,0.366,0.173
184,0.368,0.181
185,0.37,0.189
186,0.372,0.197
187,0.374,0.204
188,0.376,0.211
189,0.378,0.218
190,0.38,0.225
191,0.382,0.231
192,0.384,0.237
193,0.386,0.242
194,0.388,0.248
195,0.39,0.253
196,0.392,0.257
197,0.394,0.26
198,0.396,0.261
199,0.398,0.26
200,0.4,0.258
201,0.402,0.256
202,0.404,0.253
203,0.406,0.25
204,0.408,0.248
205,0.41,0.244
206,0.412,0.238
207,0.414,0.23
208,0.416,0.22
209,0.418,0.208
210,0.42,0.194
211,0.422,0.18
212,0.424,0.166
213,0.426,0.152
214,0.428,0.138
215,0.43,0.123
216,0.432,0.108
217,0.434,0.094
218,0.436,0.081
219,0.438,0.068
220,0.44,0.057
221,0.442,0.046
222,0.444,0.036
223,0.446,0.027
224,0.448,0.017
225,0.45,0.009
226,0.452,0.001
227,0.454,-0.006
228,0.456,-0.012
229,0.458,-0.017
230,0.46,-0.02
231,0.462,-0.024
232,0.464,-0.027
233,0.466,-0.031
